Technology,Ann_Inv_MWYr,Fix_OM_MW,Var_OM
Battery,186996.56101695317,46707.46200152041,0.0
WindLand,165906.74076066297,32309.373241641097,0.0
WindOffshore,593851.0076869725,85500.04285714286,0.0
SolarUtility,145819.63421422683,21608.88881661824,0.0
SolarBTM,244454.17592052833,29531.747558093903,0.0
Hydro,569012.2021890081,51543.548387096795,0.58
Nuclear,811518.9034092445,155500.0,2.7
PumpedHydro,366509.1702395557,20149.999999999996,0.58
InternalCombustion,484519.8077821131,163666.01999999996,5.246639999999999
CombinedCycle,240769.89082666216,58177.77777777777,4.082222222222222
CombustionTurbine,124945.03412815822,25800.0,6.94
