region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
A,Hydro_A,1,1,1,0.0,0.0,0.0,1.476568030645162e8,0.0,0.0,1.1420665113598997e7,0.0,0.0,0.0,0.0,0.0,1.3988039823940003e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3988039823940003e9,1.590774681781152e8,1.2397265142158852e9
B,Hydro_B,2,1,2,0.0,0.0,0.0,3.2884783870967757e6,0.0,0.0,254350.69439998694,0.0,0.0,0.0,0.0,0.0,3.115289352348927e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.115289352348927e7,3.5428290814967626e6,2.7610064441992506e7
C,Hydro_C,3,1,3,0.0,0.0,0.0,5.587320645161293e6,0.0,0.0,542090.5661739093,0.0,0.0,0.0,0.0,0.0,6.090985169762025e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.090985169762025e7,6.129411211335203e6,5.4780440486285046e7
D,Hydro_D,4,1,4,0.0,0.0,0.0,5.911014129032261e7,0.0,0.0,5.7350246443645e6,0.0,0.0,0.0,0.0,0.0,6.443858407471632e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.443858407471632e8,6.484516593468711e7,5.79540674812476e8
E,Hydro_E,5,1,5,0.0,0.0,0.0,1.927213274193549e7,0.0,0.0,1.8698340726609288e6,0.0,0.0,0.0,0.0,0.0,2.1009405812292063e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1009405812292063e8,2.1141966814596422e7,1.8895209130832422e8
F,Hydro_F,6,1,6,0.0,0.0,0.0,1.481877016129033e7,0.0,0.0,1.4377402008761677e6,0.0,0.0,0.0,0.0,0.0,1.615459627589112e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615459627589112e8,1.6256510362166498e7,1.452894523967447e8
G,Hydro_G,7,1,7,0.0,0.0,0.0,5.343276013564982e6,0.0,0.0,394570.49567529745,0.0,0.0,0.0,0.0,0.0,4.433383574725546e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.433383574725546e7,5.73784650924028e6,3.859598923801518e7
A,PumpedHydro_A,1,1,8,0.0,0.0,0.0,4.836e6,0.0,0.0,956805.1200000003,0.0,0.0,0.0,0.0,0.0,1.1718956811344098e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1718956811344098e8,5.79280512e6,1.1139676299344097e8
F,PumpedHydro_F,6,1,9,0.0,0.0,0.0,2.3374e7,0.0,0.0,5.800999702721896e6,0.0,0.0,0.0,0.0,0.0,6.518028715890429e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.518028715890429e8,2.9174999702721894e7,6.226278718863211e8
A,CombinedCycle_NaturalGas_A_Existing,1,1,10,0.0,0.0,0.0,2.562149333333333e7,0.0,0.0,1.3269493247574026e7,7.599264064111547e7,0.0,0.0,0.0,0.0,2.0757750876089305e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0757750876089305e8,1.1488362722202283e8,9.269388153887022e7
