Costs,Total,Zone1,Zone2,Zone3
cTotal,9.946257901251556e9,3.0615191888049307e9,5.016536998456783e9,1.7941027139896057e9
cFix,9.442856237256453e9,2.752393642281086e9,4.932155762455588e9,1.7583068325197792e9
cVar,6.6855074526598655e7,3.864137004924839e7,2.0243407456746444e7,7.9702970206032405e6
cFuel,3.1077138302643263e8,2.323555579812441e8,5.487742157669448e7,2.353840346849335e7
cNSE,0.0,0.0,0.0,0.0
cStart,5.167620644183591e7,3.8128618493352145e7,9.260406967753762e6,4.287180980730006e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
